Rank,Company,Website,Headquarters,Industry/Domain,B2C/B2B,Remote Policy,CTC Min (INR LPA),CTC Max (INR LPA),Currency,CTC Source,Role Types,Hiring Status,Role Impact Signal,Stage,Total Funding (USD),Latest Round (USD),Latest Round Date,Investors,Profitability,Revenue Estimate,WLB Rating,Visa Sponsorship,Domain Growth Score,Industry Alignment Score (0-10),Comp Score (0-10),Stability & Growth Score (0-10),Work Mode Score (0-10),WLB Score (0-10),Match Score (0-100)
1,Midjourney,midjourney.com,San Francisco USA,AI Image Generation,B2C,Fully Remote,1700,2125,USD,Levels.fyi estimate,PM/SPM,Active,High,Bootstrapped,0,0,N/A,None,Yes,~$300M ARR,4.5,No,9,10,10,9.5,10,9,96.0
2,Perplexity AI,perplexity.ai,San Francisco USA,AI Search B2C,B2C,Hybrid/Remote-ok,1530,1870,USD,Levels.fyi,PM/SPM,Active,High,Series D,500000000,73600000,2025,IVP/NEA,No,~$100M ARR,4.3,Yes,10,10,9,9,8,8.5,90.6
3,Suno,suno.ai,Cambridge USA,AI Music Generation,B2C,Hybrid,1275,1700,USD,Levels.fyi estimate,PM/SPM,Active,High,Series C,265000000,250000000,Nov-2025,"Menlo Ventures,NVIDIA,Lightspeed",No,$300M ARR,4.0,No,9,10,8.5,9.5,8,8,89.3
4,ElevenLabs,elevenlabs.io,New York USA,Generative Audio,Both,Remote-friendly,1275,1615,USD,Levels.fyi,PM/SPM,Active,High,Series C,281000000,180000000,2025,"a16z,Sequoia",No,~$100M ARR,4.2,No,9,9,8.5,9,9,8.5,89.0
5,Figma,figma.com,San Francisco USA,AI Design Tools,Both,Hybrid SF,1530,1870,USD,Levels.fyi,PM/SPM/Lead PM,Active,High,Pre-IPO,0,Profitable,N/A,None,Yes,~$600M ARR,4.5,Yes,9,10,9,9,6,9,88.8
6,Canva,canva.com,Sydney Australia,AI Design Tools,Both,Hybrid/Remote,1105,1530,USD,Levels.fyi,PM/SPM,Active,High,Late Stage,560000000,Profitable,N/A,None,Yes,~$2B ARR,4.3,Yes,9,10,8,9,8,8.5,87.8
7,Runway ML,runwayml.com,New York USA,AI Video Generation,Both,Hybrid NY,1275,1700,USD,Levels.fyi,PM/SPM,Active,High,Series D,236500000,141000000,2024,"Google,Salesforce,NVIDIA",No,~$100M ARR,4.2,No,9,9,8.5,9,7,8.5,87.3
8,Notion,notion.so,San Francisco USA,AI Productivity,Both,Hybrid/Remote-ok,1360,1700,USD,Levels.fyi,PM/SPM/Lead PM,Active,High,Series C,343000000,275000000,2022,"Coatue,Sequoia",No,~$300M ARR,4.4,No,8,9,9,8.5,8,8.5,87.1
9,Duolingo,duolingo.com,Pittsburgh USA,AI EdTech B2C,B2C,Hybrid Pittsburgh,1360,1530,USD,Levels.fyi,PM/SPM/Lead PM,Active,High,Public,0,Profitable,N/A,None,Yes,~$500M ARR,4.5,Yes,9,10,8.5,9,5,9,86.5
10,Spotify,spotify.com,Stockholm Sweden,Music Streaming + AI,B2C,Hybrid/Remote,1190,1700,USD,Levels.fyi,PM/SPM,Active,High,Public,0,Profitable,N/A,None,Yes,~$14B Revenue,4.2,Yes,9,9,9,8.5,7,8.5,86.4
