Rank,Company,Website,HQ,Domain,B2C/B2B,Remote Policy,CTC Min (INR LPA),CTC Max (INR LPA),Currency,Stage,Total Funding (USD),Latest Round (USD),Latest Round Date,Profitability,WLB (1-5),Visa,Domain Growth Score,Comp Score,Stability Score,Work Mode Score,Industry Score,WLB Score,Match Score
101,Tome.app,tome.app,San Francisco USA,AI Presentation/Storytelling,Both,Hybrid SF,1105,1402,USD,Series C,228000000,213000000,Aug-2025,No,4.0,No,8,7,8,6,8,8,58.5
102,Gamma,gamma.app,San Francisco USA,AI Visual Storytelling,Both,Hybrid SF,1105,1402,USD,Series B,68000000,68000000,Nov-2025,No,4.1,No,8,7,7.5,6,8,8.5,57.5
103,Coda,coda.io,San Francisco USA,AI Collaborative Workspace,Both,Hybrid SF,1190,1487,USD,Series D,400000000,100000000,Oct-2025,No,4.2,No,7,7.5,7.5,6,7,8.5,57.0
104,Pitch,pitch.com,Berlin Germany,Collaborative Presentations,Both,Hybrid Berlin,680,935,USD,Series B,85000000,85000000,May-2021,No,4.3,No,7,6,7,6,7,8.5,56.5
105,Beautiful.ai,beautiful.ai,San Francisco USA,AI Presentation Design,Both,Hybrid SF,850,1105,USD,Series B,16000000,16000000,May-2018,No,4.0,No,7,6,5,6,7,8,52.0
106,Whimsical,whimsical.com,Distributed,AI Flowcharts & Wireframes,Both,Remote-first,1402,1700,USD,Series A,30000000,30000000,Nov-2021,No,4.5,No,7,8,6.5,10,7,9,59.5
107,Mixpanel,mixpanel.com,San Francisco USA,Product Analytics,B2B,Hybrid SF,1105,1402,USD,Series C,77000000,65000000,Nov-2021,No,4.0,No,6,7,7,6,6,8,55.5
108,Pendo,pendo.io,Raleigh USA,Product Analytics & Guidance,B2B,Hybrid,1105,1402,USD,Series F,356000000,100000000,Jul-2021,No,4.1,No,6,7,7.5,6,6,8,55.8
109,Heap,heap.io,San Francisco USA,Digital Analytics,B2B,Hybrid SF,1020,1317,USD,Series D,195000000,55000000,Dec-2021,No,3.9,No,6,7,7,6,6,7.5,55.3
110,Contentsquare,contentsquare.com,Paris France,Digital Experience Analytics,B2B,Hybrid Paris,680,935,USD,Series F,1400000000,600000000,Jul-2022,No,3.8,No,6,6,8,6,6,7.5,55.0
111,UserTesting,usertesting.com,San Francisco USA,User Research Platform,B2B,Hybrid,935,1190,USD,PE-owned,1300000000,Acquired,Oct-2022,No,3.8,No,6,6.5,7,6,6,7.5,54.8
112,Hotjar,hotjar.com,Distributed,Behavior Analytics,B2B,Remote-first,935,1190,USD,Acquired,Acquired,Acquired,2021,No,4.3,No,6,6.5,7.5,10,6,8.5,56.5
113,Smartly.io,smartly.io,Helsinki Finland,AI Marketing Automation,B2B,Hybrid Helsinki,680,850,USD,Series B,140000000,140000000,2021,No,3.8,No,7,5.5,7,6,6,7.5,52.3
